canonical_sku,w,h,d,keyword,source,raw_desc
RD36NM,31.9375,3.6875,20,ROLL_OUT_DRAWER,GHI,Width: 31.9375in Height: 3.6875in Depth: 20in
RD30NM,25.9375,3.6875,20,ROLL_OUT_DRAWER,GHI,Width: 25.9375in Height: 3.6875in Depth: 20in
SP24X54,23.875,54,0.1875,PANTRY,GHI,Width: 23.875in Height: 54in Depth: 0.1875in
WR1818,18,18,,WINE_RACK,GHI,Width: 18 Height: 18
V3621DR,36,34.5,21,VANITY,GHI,Width: 36in Height: 34.5in Depth: 21in
WP2484SHELF-NM,25.9375,,21.625,SHELF,GHI,Width: 25.9375in Depth: 21.625in
WP1884SHELF-NM,16.375,,21.625,SHELF,GHI,Width: 16.375in Depth: 21.625in
CSFFLOORNM,,,,SHELF,GHI,
UCB2454,24,54,24,WALL_PANTRY,GHI,Width: 24 Height: 54 Depth: 24 For use as part of GWP2496-ACW Wall Pantry Cabinet
UCB1854,18,54,24,WALL_PANTRY,GHI,Width: 18 Height: 54 Depth: 24 For use as part of GWP1896-ACW Wall Pantry Cabinet
ER3309,,,,BASE,GHI,GER3309-ACW GHI Arcadia White Shaker EZ Reach Corner Base 33W X 341/2H
W183624,18,36,24,WALL_PANTRY,GHI,Width: 18in Height: 36in Depth: 24in For use as part of GWP1890-ACW Wall Pantry Cabinet
W243624,24,36,24,WALL_PANTRY,GHI,Width: 24in Height: 36in Depth: 24in For use as part of GWP2490-ACW Wall Pantry Cabinet
W244224,24,42,24,WALL_PANTRY,GHI,Width: 24in Height: 42in Depth: 24in For use as part of GWP2496-ACW Wall Pantry Cabinet
W184224,18,42,24,WALL_PANTRY,GHI,Width: 18in Height: 42in Depth: 24in For use as part of GWP1896-ACW Wall Pantry Cabinet
MB30,,,,BASE,GHI,GMB30-ACW GHI Arcadia White Shaker Microwave Base Cabinet
VDB1221,12,34.5,21,VANITY,GHI,Width: 12in Height: 34.5in Depth: 21in
SCHWDC,,,,,GHI,
SCH114,,,,,GHI,
VAR48,48,6,,,GHI,Width: 48in Height: 6in
B18FH,18,34.5,24,BASE,GHI,Full height door. No Drawers. Width: 18in Height: 34.5in Depth: 24in
FSB36,,,,VANITY_SINK_BASE,GHI,GHI Sink bases will have nailers with no back panel GHI Vanity Sink bases will have nailers with no back panel GHI Vanity Combo Sink bases with drawers will have a back in the drawer area only
DB30-2,30,34.5,24,,GHI,Width: 30in Height: 34.5in Depth: 24in
DB24-2,24,34.5,24,,GHI,Width: 24in Height: 34.5in Depth: 24in
SM3630,,,,,GHI,
SM3030,,,,,GHI,
BV2126,21,26,7.875,WALL,GHI,Width: 21in Height: 26in Depth: 7.875in
L781821,18,78,21,,GHI,Width: 18in Height: 78in Depth: 21in
V6021D,60,34.5,21,VANITY,GHI,Width: 60in Depth: 21in Height: 34.5in
V4821D,48,34.5,21,VANITY,GHI,Width: 48in Height: 34.5in Depth: 21in
V3621DL,36,34.5,21,VANITY,GHI,Width: 36in Height: 34.5in Depth: 21in
V3021D,30,34.5,21,VANITY,GHI,Width: 30in Height: 34.5in Depth: 21in
V2421,24,34.5,21,VANITY,GHI,Width: 24in Height: 34.5in Depth: 21in
V2418,24,,18,VANITY,GHI,Width: 24 Depth: 18
V1816,,,,VANITY,GHI,
RD24NM,19.9375,3.6875,20,ROLL_OUT_DRAWER,GHI,Width: 19.9375in Height: 3.6875in Depth: 20in
RD18NM,13.9375,3.6875,20,ROLL_OUT_DRAWER,GHI,Width: 13.9375in Height: 3.6875in Depth: 20in
SRINM,5,24.75,,,GHI,Width: 5in Height: 24.75in
LRMS7,2,0.8125,,MOLDING,GHI,Width: 2in Height: 0.8125in Length: 84in
CM8,2.6875,2.5625,,CROWN,GHI,Width: 2.6875 Height: 2.5625in Length: 96in
WAC2442,24,42,12,WALL,GHI,Width: 24in Height: 42in Depth: 12in Doors: 2
WAC2436,24,36,12,WALL,GHI,Width: 24in Height: 36in Depth: 12in
WAC2430,24,30,12,WALL,GHI,Width: 24in Height: 30in Depth: 12in
SCG,,,,,GHI,GHI Soft Close Drawer Glides
FBM8,0.5,3.5,,BASE,GHI,Width: 0.5in Height: 3.5in Length: 96in
JK,,,,,GHI,GHI Jiffy Kit touch-up kit for Arcadia White Shaker (ACW) cabinets
BDD,23,29.3125,,,GHI,Width: 23in Height: 29.3125in
G42DD,11,41,0.75,,GHI,Width: 11in Height: 41in Depth: 0.75in
G36DD,11,34.9375,0.75,,GHI,Width: 11in Height: 34.9375in Depth: 0.75in
G30DD,9.5,28,0.75,,GHI,Width: 9.5in Height: 28in Depth: 0.75in
CSF36,36,34.5,,CORNER,GHI,FRONT ONLY. Width: 36in Height: 34.5in
DC2742MD,27,42,,MULLION_DOOR,GHI,GLASS NOT INCLUDED. Width: 27in Height: 42in
DC2442MD,24,42,,MULLION_DOOR,GHI,GLASS NOT INCLUDED. Width: 24in Height: 42in
G3642MD,36,42,,MULLION_DOOR,GHI,GLASS NOT INCLUDED. Width: 36in Height: 42in
G3042MD,30,42,,MULLION_DOOR,GHI,GLASS NOT INCLUDED. Width: 30in Height: 42in
G1842MD,18,42,,MULLION_DOOR,GHI,GLASS NOT INCLUDED. Width: 18in Height: 42in
G1542MD,15,42,,MULLION_DOOR,GHI,GLASS NOT INCLUDED. Width: 15in Height: 42in
DC2736MD,27,36,,MULLION_DOOR,GHI,GLASS NOT INCLUDED. Width: 27in Height: 36in
DC2436MD,24,36,,MULLION_DOOR,GHI,GLASS NOT INCLUDED. Width: 24in Height: 36in
G3636MD,36,36,,MULLION_DOOR,GHI,GLASS NOT INCLUDED. Width: 36in Height: 36in
BC24,24,34.5,,BASE,GHI,Width: 24in Height: 34.5in Doors: 1
BBC42-45,42,34.5,24,WALL,GHI,Occupies 42in to 45in of wall space. Width: 42in Height: 34.5in Depth: 24in Doors: 1
B09,9,34.5,24,BASE,GHI,Width: 9in Height: 34.5in Depth: 24in
G3036MD,30,36,,MULLION_DOOR,GHI,GLASS NOT INCLUDED. Width: 30in Height: 36in
G1836MD,18,36,,MULLION_DOOR,GHI,GLASS NOT INCLUDED. Width: 18in Height: 36in
G1536MD,15,36,,MULLION_DOOR,GHI,GLASS NOT INCLUDED. Width: 15in Height: 36in
DC2430MD,24,30,,MULLION_DOOR,GHI,GLASS NOT INCLUDED. Width: 24in Height: 30in
G3630MD,36,30,,MULLION_DOOR,GHI,GLASS NOT INCLUDED. Width: 36in Height: 30in
G3030MD,30,30,,MULLION_DOOR,GHI,GLASS NOT INCLUDED. Width: 30in Height: 30in
G1830MD,18,30,,MULLION_DOOR,GHI,GLASS NOT INCLUDED. Width: 18in Height: 30in
G1530MD,15,30,,MULLION_DOOR,GHI,GLASS NOT INCLUDED. Width: 15in Height: 30in
SGH30,30,,11.875,,GHI,Width: 30in Depth: 11.875in
WR3015,30,15,12,WINE_RACK,GHI,Width: 30in Height: 15in Depth: 12in
PR3015,30,15,12,,GHI,Width: 30in Height: 15in Depth: 12in
MC3018,30,18,12,OVEN,GHI,Width: 30in Height: 18in Depth: 12in
RP96,24,96,0.5,REFRIGERATOR,GHI,Width: 24in Height: 96in Depth: 0.5in
RP90,24,90,0.5,REFRIGERATOR,GHI,Width: 24in Height: 90in Depth: 0.5in
RP84,24,84,0.5,REFRIGERATOR,GHI,Width: 24in Height: 84in Depth: 0.5in
G3X4PAN,36,48,0.25,PANEL,GHI,Width: 36in Height: 48in Depth: 0.25in
WEP12X42,12,42,0.1875,WALL_END,GHI,Width: 12in Height: 42in Depth: 0.1875in
EP24X35,24,35,0.1875,END_PANEL,GHI,Width: 24in Height: 35in Depth: 0.1875in
BEP3L,24,34.5,0.5,BASE_END,GHI,Width: 24in Height: 34.5in Depth: 0.5in Cover Depth: 3.1875in
BF3,3,34.5,,BASE,GHI,Width: 3in Height: 34.5in
F642,6,42,0.75,WALL,GHI,Width: 6in Height: 42in Depth: 0.75in
F396,3,,0.75,WALL,GHI,Width: 3in Length: 96in Depth: 0.75in
F342,3,42,0.75,WALL,GHI,Width: 3in Height: 42in Depth: 0.75in
F330,3,30,0.75,WALL,GHI,Width: 3in Height: 30in Depth: 0.75in
SCM7,0.25,0.75,,MOLDING,GHI,Width: 0.25in Height: 0.75in Length: 84in
OSC7,0.75,0.75,,CORNER,GHI,Width: 0.75in Height: 0.75in Length: 84in
SM8,3.5,2.37,,CROWN,GHI,Width: 3.5in Height: 2.37in Length: 96in
TK8,0.5,4.5,,TOE_KICK,GHI,Width: 0.5in Height: 4.5in Length: 96in
OU332490,33,90,24,OVEN,GHI,Width: 33in Height: 90in Depth: 24in
OU332484,33,84,24,OVEN,GHI,Width: 33in Height: 84in Depth: 24in
WP2496,24,96,24,WALL_PANTRY,GHI,Width: 24in Height: 96in Depth: 24in Attention: This product ships as two separate cabinets consisting of One (1) GUCB2454-ACW (lower) and One (1) GW244224-ACW (upper). The two cabinets are combined to equal the total dimensions.
WP1896,18,96,24,WALL_PANTRY,GHI,Width: 18in Height: 96in Depth: 24in Attention: This product ships as two separate cabinets consisting of One (1) GUCB1854-ACW (lower) and One (1) GW184224-ACW (upper). The two cabinets are combined to equal the total dimensions.
WP2490,24,90,24,WALL_PANTRY,GHI,Width: 24in Height: 90in Depth: 24in Attention: This product ships as two separate cabinets consisting of One (1) GUCB2454-ACW (lower) and One (1) GW243624-ACW (upper). The two cabinets are combined to equal the total dimensions.
WP1890,18,90,24,WALL_PANTRY,GHI,Width: 18in Height: 90in Depth: 24in Attention: This product ships as two separate cabinets consisting of One (1) GUCB1854-ACW (lower) and One (1) GW183624-ACW (upper). The two cabinets are combined to equal the total dimensions.
WP2484,24,84,24,WALL_PANTRY,GHI,Width: 24in Height: 84in Depth: 24in
WP1884,18,84,24,WALL_PANTRY,GHI,Width: 18in Height: 84in Depth: 24in
SB60,,,,VANITY_SINK_BASE,GHI,Sink bases will have nailers with no back panel. Vanity Sink bases will have nailers with no back panel. Vanity Combo Sink bases with drawers will have a back in the drawer area only.
SB42,,,,VANITY_SINK_BASE,GHI,Sink bases will have nailers with no back panel. Vanity Sink bases will have nailers with no back panel. Vanity Combo Sink bases with drawers will have a back in the drawer area only.
SB36,,,,VANITY_SINK_BASE,GHI,Sink bases will have nailers with no back panel. Vanity Sink bases will have nailers with no back panel. Vanity Combo Sink bases with drawers will have a back in the drawer area only.
SB33,,,,VANITY_SINK_BASE,GHI,Sink bases will have nailers with no back panel. Vanity Sink bases will have nailers with no back panel. Vanity Combo Sink bases with drawers will have a back in the drawer area only.
SB30,,,,VANITY_SINK_BASE,GHI,Sink bases will have nailers with no back panel. Vanity Sink bases will have nailers with no back panel. Vanity Combo Sink bases with drawers will have a back in the drawer area only.
DCB3612,36,34.5,24,LAZY_SUSAN,GHI,12in door opening. Width: 36in Height: 34.5in Depth: 24in
DB30,30,34.5,24,,GHI,Width: 30in Height: 34.5in Depth: 24in
DB24,24,34.5,24,,GHI,Width: 24in Height: 34.5in Depth: 24in
DB21,21,34.5,24,,GHI,Width: 21in Height: 34.5in Depth: 24in
DB18,18,34.5,24,,GHI,Width: 18in Height: 34.5in Depth: 24in
DB15,15,34.5,24,,GHI,Width: 15in Height: 34.5in Depth: 24in
B36,36,34.5,24,BASE,GHI,Width: 36in Height: 34.5in Depth: 24in Doors: 2
B33,33,34.5,24,BASE,GHI,Width: 33in Height: 34.5in Depth: 24in Doors: 2
B30,30,34.5,24,BASE,GHI,Width: 30in Height: 34.5in Depth: 24in Doors: 2
B27,27,34.5,24,BASE,GHI,Width: 27in Height: 34.5in Depth: 24in Doors: 2
B24,24,34.5,24,BASE,GHI,Width: 24in Height: 34.5in Depth: 24in Shelves: 1 Doors: 2
B21,21,34.5,24,BASE,GHI,Width: 21in Height: 34.5in Depth: 24in Shelves: 1 Doors: 1
B18,18,34.5,24,BASE,GHI,Width: 18in Height: 34.5in Depth: 24in Shelves: 1 Doors: 1
B15,15,34.5,24,BASE,GHI,Width: 15in Height: 34.5 Depth: 24in Shelves: 1 Doors: 1
B12,12,34.5,24,BASE,GHI,Width: 12in Height: 34.5 Depth: 24in Shelves: 1 Doors: 1
WDC2742,27,42,15,WALL_DIAGONAL_CORNER,GHI,Width: 27in Height: 42in Depth: 15in Shelves: 3 Doors: 1
WDC2442,24,42,12,WALL_DIAGONAL_CORNER,GHI,Width: 24in Height: 42in Depth: 12in Shelves: 3 Doors: 1
W3642,36,42,12,WALL,GHI,Width: 36in Height: 42in Depth: 12in Shelves: 3 Doors: 2
W3342,33,42,12,WALL,GHI,Width: 33in Height: 42in Depth: 12in Shelves: 3 Doors: 2
W3042,30,42,12,WALL,GHI,Width: 30in Height: 42in Depth: 12in Shelves: 3 Doors: 2
W2742,27,42,12,WALL,GHI,Width: 27in Height: 42in Depth: 12in Shelves: 3 Doors: 2
W2442,24,42,12,WALL,GHI,Width: 24in Height: 42in Depth: 12in Shelves: 3 Doors: 2
W2142,21,42,12,WALL,GHI,Width: 21in Height: 42in Depth: 12in Shelves: 3 Doors: 1
W1842,18,42,12,WALL,GHI,Width: 18in Height: 42in Depth: 12in Shelves: 3 Doors: 1
W1542,15,42,12,WALL,GHI,Width: 15in Height: 42in Depth: 12in Shelves: 3 Doors: 1
W1242,12,42,12,WALL,GHI,Width: 12in Height: 42in Depth: 12in Shelves: 3 Doors: 1
W0942,9,42,12,WALL,GHI,Width: 9in Height: 42in Depth: 12in Shelves: 3 Doors: 1
WDC2736,27,36,15,WALL_DIAGONAL_CORNER,GHI,Width: 27in Height: 36in Depth: 15in Shelves: 2
WDC2436,24,36,12,WALL_DIAGONAL_CORNER,GHI,Width: 24in Height: 36in Depth: 12in Shelves: 2
W3636,36,36,12,WALL,GHI,Width: 36in Height: 36in Depth: 12in Shelves: 2 Doors: 2
W3336,33,36,12,WALL,GHI,Width: 33in Height: 36in Depth: 12in Shelves: 2 Doors: 2
W3036,30,36,12,WALL,GHI,Width: 30in Height: 36in Depth: 12in Shelves: 2 Doors: 2
W2736,27,36,12,WALL,GHI,Width: 27in Height: 36in Depth: 12in Shelves: 2 Doors: 2
W2436,24,36,12,WALL,GHI,Width: 24in Height: 36in Depth: 12in Shelves: 2 Doors: 2
W2136,21,36,12,WALL,GHI,Width: 21in Height: 36in Depth: 12in Shelves: 2 Doors: 1
W1836,18,36,12,WALL,GHI,Width: 18in Height: 36in Depth: 12in Shelves: 2 Doors: 1
W1536,15,36,12,WALL,GHI,Width: 15in Height: 36in Depth: 12in Shelves: 2 Doors: 1
W1236,12,36,12,WALL,GHI,Width: 12in Height: 36in Depth: 12in Shelves: 2 Doors: 1
W0936,9,36,12,WALL,GHI,Width: 9in Height: 36in Depth: 12in Shelves: 2 Doors: 1
W362424,36,24,24,WALL,GHI,Width: 36in Height: 24in Depth: 24in Shelves: 1 Doors: 2
W332424,33,24,24,WALL,GHI,Width: 33in Height: 24in Depth: 24in Shelves: 1 Doors: 2
W361824,36,18,24,WALL,GHI,Width: 36in Height: 18in Depth: 24in Shelves: 1 Doors: 2
W361524,36,15,24,WALL,GHI,Width: 36in Height: 15in Depth: 24in Shelves: 1 Doors: 2
W331524,33,15,24,WALL,GHI,Width: 33in Height: 15in Depth: 24in Shelves: 1 Doors: 2
W361224,36,12,24,WALL,GHI,Width: 36in Height: 12in Depth: 24in Shelves: 1 Doors: 2
W331224,33,12,24,WALL,GHI,Width: 33in Height: 12in Depth: 24in Shelves: 1 Doors: 2
W3624,36,24,12,WALL,GHI,Width: 36in Height: 24in Depth: 12in Shelves: 1 Doors: 2
W3024,30,24,12,WALL,GHI,Width: 30in Height: 24in Depth: 12in Shelves: 1 Doors: 2
W3618,36,18,12,WALL,GHI,Width: 36in Height: 18in Depth: 12in Shelves: 1 Doors: 2
W3018,30,18,12,WALL,GHI,Width: 30in Height: 18in Depth: 12in Shelves: 1 Doors: 2
W3615,36,15,12,WALL,GHI,Width: 36in Height: 15in Depth: 12in Shelves: 1 Doors: 2
W3315,33,15,12,WALL,GHI,Width: 33in Height: 15in Depth: 12in Shelves: 1 Doors: 2
W3015,30,15,12,WALL,GHI,Width: 30in Height: 15in Depth: 12in Shelves: 1 Doors: 2
W2415,24,15,12,WALL,GHI,Width: 24in Height: 15in Depth: 12in Shelves: 1 Doors: 2
W3612,36,12,12,WALL,GHI,Width: 36in Height: 12in Depth: 12in Shelves: 1 Doors: 2
W3012,30,12,12,WALL,GHI,Width: 30in Height: 12in Depth: 12in Shelves: 1 Doors: 2
WDC2430,24,30,12,WALL_DIAGONAL_CORNER,GHI,Width: 24in Height: 30in Depth: 12in Shelves: 2
WBC2730,27,30,12,WALL,GHI,Width: 27in Height: 30in Depth: 12in Shelves: 2 Doors: 1
W3630,36,30,12,WALL,GHI,Width: 36in Height: 30in Depth: 12in Shelves: 2 Doors: 2
W3330,33,30,12,WALL,GHI,Width: 33in Height: 30in Depth: 12in Shelves: 2 Doors: 2
W3030,30,30,12,WALL,GHI,Width: 30in Height: 30in Depth: 12in Shelves: 2 Doors: 2
W2730,27,30,12,WALL,GHI,Width: 27in Height: 30in Depth: 12in Shelves: 2 Doors: 2
W2430,24,30,12,WALL,GHI,Width: 24in Height: 30in Depth: 12in Shelves: 2 Doors: 2
W2130,21,30,12,WALL,GHI,Width: 21in Height: 30in Depth: 12in Shelves: 2 Doors: 1
W1830,18,30,12,WALL,GHI,Width: 18in Height: 30in Depth: 12in Shelves: 2 Doors: 1
W1530,15,30,12,WALL,GHI,Width: 15in Height: 30in Depth: 12in Shelves: 2 Doors: 1
W1230,12,30,12,WALL,GHI,Width: 12in Height: 30in Depth: 12in Shelves: 2 Doors: 1
W0930,9,30,12,WALL,GHI,Width: 9in Height: 30in Depth: 12in Shelves: 2 Doors: 1
M3630-CSG,36,30,,,GHI,Width: 36 Height: 30
M3030-CSG,30,30,,,GHI,Width: 30 Height: 30
L781821-CSG,18,78,21,,GHI,Width: 18 Height: 78 Depth: 21
SP24X54-CCB,23.875,54,0.1875,PANTRY,GHI,Width: 23.875in Height: 54in Depth: 0.1875in
BDD-CCB,23,29.3125,,,GHI,Width: 23in Height: 29.3125in
G3X4PAN-CCB,36,48,0.25,PANEL,GHI,Width: 36in Height: 48in Depth: 0.25in
BEP3L-CCB,24,34.5,0.5,BASE_END,GHI,Width: 24in Height: 34.5in Depth: 0.5in Cover Depth: 3.1875in
BF3-CCB,3,34.5,,BASE,GHI,Width: 3in Height: 34.5in
SCM7-CCB,0.25,0.75,,MOLDING,GHI,Width: 0.25in Height: 0.75in Length: 84in
OSC7-CCB,0.75,0.75,,CORNER,GHI,Width: 0.75in Height: 0.75in Length: 84in
FSB36-CCB,,,,SINK_BASE,GHI,GFSB36-CCB GHI Concord Blue Farm Sink Base Cabinet 36W X 34-1/2H
SB36-CCB,,,,SINK_BASE,GHI,GSB36-CCB GHI Concord Blue Sink Base Cabinet 36W X 34-1/2H
ER3309-CCB,,,,BASE,GHI,GER3309-CCB GHI Concord Blue EZ Reach Corner Base 33W X 341/2H
DB30-CCB,30,34.5,24,,GHI,Width: 30in Height: 34.5in Depth: 24in
DB24-CCB,24,34.5,24,,GHI,Width: 24in Height: 34.5in Depth: 24in
DB18-CCB,18,34.5,24,,GHI,Width: 18in Height: 34.5in Depth: 24in
DB15-CCB,15,34.5,24,,GHI,Width: 15in Height: 34.5in Depth: 24in
B36-CCB,36,34.5,24,BASE,GHI,Width: 36in Height: 34.5in Depth: 24in Doors: 2
B30-CCB,30,34.5,24,BASE,GHI,Width: 30in Height: 34.5in Depth: 24in Doors: 2
B27-CCB,27,34.5,24,BASE,GHI,Width: 27in Height: 34.5in Depth: 24in Doors: 2
B24-CCB,24,34.5,24,BASE,GHI,Width: 24in Height: 34.5in Depth: 24in Shelves: 1 Doors: 2
B21-CCB,21,34.5,24,BASE,GHI,Width: 21in Height: 34.5in Depth: 24in Shelves: 1 Doors: 1
B18-CCB,18,34.5,24,BASE,GHI,Width: 18in Height: 34.5in Depth: 24in Shelves: 1 Doors: 1
B12-CCB,12,34.5,24,BASE,GHI,Width: 12in Height: 34.5 Depth: 24in Shelves: 1 Doors: 1
B09-CCB,9,34.5,24,BASE,GHI,Width: 9in Height: 34.5in Depth: 24in
V3621DL-CCB,36,34.5,21,VANITY,GHI,Width: 36in Height: 34.5in Depth: 21in
V3621DR-CCB,36,34.5,21,VANITY,GHI,Width: 36in Height: 34.5in Depth: 21in
TK8-CCB,0.5,4.5,,TOE_KICK,GHI,Width: 0.5in Height: 4.5in Length: 96in
F642-CCB,6,42,0.75,WALL,GHI,Width: 6in Height: 42in Depth: 0.75in
JK-CCB,,,,,GHI,GHI Jiffy Kit touch-up kit for Concord Blue (CCB) cabinets
M3630-CCB,36,30,0.75,,GHI,Width: 36in Height: 30in Depth: 0.75in
M3030-CCB,30,30,0.75,,GHI,Width: 30in Height: 30in Depth: 0.75in
BV2126-CCB,21,26,7.875,WALL,GHI,Width: 21in Height: 26in Depth: 7.875in
L781821-CCB,18,78,21,,GHI,Width: 18in Height: 78in Depth: 21in
V6021D-CCB,60,34.5,21,VANITY,GHI,Width: 60in Depth: 21in Height: 34.5in
V4821D-CCB,48,34.5,21,VANITY,GHI,Width: 48in Height: 34.5in Depth: 21in
V3621D-CCB,36,34.5,21,VANITY,GHI,Width: 36in Height: 34.5in Depth: 21in
V3021D-CCB,30,34.5,21,VANITY,GHI,Width: 30in Height: 34.5in Depth: 21in
VDB1221-CCB,12,34.5,21,VANITY,GHI,Width: 12in Height: 34.5in Depth: 21in
V2421-CCB,24,34.5,21,VANITY,GHI,Width: 24in Height: 34.5in Depth: 21in
V2418-CCB,24,,18,VANITY,GHI,Width: 24 Depth: 18
V1816-CCB,18,,16,VANITY,GHI,Width: 18 Depth: 16
WP2496,24,96,24,WALL_PANTRY,GHI,Width: 24in Height: 96in Depth: 24in Attention: This product ships as two separate cabinets consisting of One (1) GUCB2454-ACW (lower) and One (1) GW244224-ACW (upper). The two cabinets are combined to equal the total dimensions.
WP2490,24,90,24,WALL_PANTRY,GHI,Width: 24in Height: 90in Depth: 24in Attention: This product ships as two separate cabinets consisting of One (1) GUCB2454-ACW (lower) and One (1) GW243624-ACW (upper). The two cabinets are combined to equal the total dimensions.
WP1896,18,96,24,WALL_PANTRY,GHI,Width: 18in Height: 96in Depth: 24in Attention: This product ships as two separate cabinets consisting of One (1) GUCB1854-ACW (lower) and One (1) GW184224-ACW (upper). The two cabinets are combined to equal the total dimensions.
WP1890,18,90,24,WALL_PANTRY,GHI,Width: 18in Height: 90in Depth: 24in Attention: This product ships as two separate cabinets consisting of One (1) GUCB1854-ACW (lower) and One (1) GW183624-ACW (upper). The two cabinets are combined to equal the total dimensions.
SP24X54,23.875,54,0.1875,PANTRY,GHI,Width: 23.875in Height: 54in Depth: 0.1875in
SP24X42,23.875,42,0.1875,PANTRY,GHI,Width: 23.875in Height: 42in Depth: 0.1875in
JK,,,,MOLDING,GHI,GHI Jiffy Kit touch-up kit for Frontier Shaker (FTS) cabinets
WR1818,18,18,,WINE_RACK,GHI,Width: 18 Height: 18
LRM7,1.5625,2.25,,MOLDING,GHI,Width: 1.5625in Height: 2.25in Length: 84in
M3630,36,30,0.75,,GHI,Width: 36in Height: 30in Depth: 0.75in
M3030,30,30,0.75,,GHI,Width: 30in Height: 30in Depth: 0.75in
BV2126,21,26,7.875,WALL,GHI,Width: 21in Height: 26in Depth: 7.875in
L781821,18,78,21,,GHI,Width: 18in Height: 78in Depth: 21in
V6021D,60,34.5,21,VANITY,GHI,Width: 60in Depth: 21in Height: 34.5in
V4821D,48,34.5,21,VANITY,GHI,Width: 48in Height: 34.5in Depth: 21in
V3621DL,36,34.5,21,VANITY,GHI,Width: 36in Height: 34.5in Depth: 21in
V3621DR,36,34.5,21,VANITY,GHI,Width: 36in Height: 34.5in Depth: 21in
V3021D,30,34.5,21,VANITY,GHI,Width: 30in Height: 34.5in Depth: 21in
V2421,24,34.5,21,VANITY,GHI,Width: 24in Height: 34.5in Depth: 21in
V2418,24,,18,VANITY,GHI,Width: 24 Depth: 18
BDD,23,29.3125,,,GHI,Width: 23in Height: 29.3125in
G42DD,11,41,0.75,,GHI,Width: 11in Height: 41in Depth: 0.75in
G36DD,11,34.9375,0.75,,GHI,Width: 11in Height: 34.9375in Depth: 0.75in
G30DD,9.5,28,0.75,,GHI,Width: 9.5in Height: 28in Depth: 0.75in
CSF36,36,34.5,,CORNER,GHI,FRONT ONLY Width: 36in Height: 34.5in
DC2742MD,27,42,,MOLDING,GHI,GLASS NOT INCLUDED. Width: 27in Height: 42in
DC2442MD,24,42,,MOLDING,GHI,GLASS NOT INCLUDED. Width: 24in Height: 42in
G3642MD,36,42,,MULLION_DOOR,GHI,GLASS NOT INCLUDED. Width: 36in Height: 42in
G3042MD,30,42,,MULLION_DOOR,GHI,GLASS NOT INCLUDED. Width: 30in Height: 42in
G1842MD,18,42,,MOLDING,GHI,GLASS NOT INCLUDED. Width: 18in Height: 42in
G1542MD,15,42,,MOLDING,GHI,GLASS NOT INCLUDED. Width: 15in Height: 42in
DC2736MD,27,36,,MOLDING,GHI,GLASS NOT INCLUDED. Width: 27in Height: 36in
DC2436MD,24,36,,MOLDING,GHI,GLASS NOT INCLUDED. Width: 24in Height: 36in
G3636MD,36,36,,MULLION_DOOR,GHI,GLASS NOT INCLUDED. Width: 36in Height: 36in
G3036MD,30,36,,MULLION_DOOR,GHI,GLASS NOT INCLUDED. Width: 30in Height: 36in
G1836MD,18,36,,MOLDING,GHI,GLASS NOT INCLUDED. Width: 18in Height: 36in
G1536MD,15,36,,MOLDING,GHI,GLASS NOT INCLUDED. Width: 15in Height: 36in
DC2430MD,24,30,,MOLDING,GHI,GLASS NOT INCLUDED. Width: 24in Height: 30in
G3630MD,36,30,,MULLION_DOOR,GHI,GLASS NOT INCLUDED. Width: 36in Height: 30in
G3030MD,30,30,,MULLION_DOOR,GHI,GLASS NOT INCLUDED. Width: 30in Height: 30in
G1830MD,18,30,,MOLDING,GHI,GLASS NOT INCLUDED. Width: 18in Height: 30in
G1530MD,15,30,,MOLDING,GHI,GLASS NOT INCLUDED. Width: 15in Height: 30in
SGH30,30,,11.875,,GHI,Width: 30in Depth: 11.875in
WR3015,30,15,12,WINE_RACK,GHI,Width: 30in Height: 15in Depth: 12in
PR3015,30,15,12,,GHI,Width: 30in Height: 15in Depth: 12in
MC3018,30,18,12,OVEN,GHI,Width: 30in Height: 18in Depth: 12in
RP96,24,96,0.5,REFRIGERATOR,GHI,Width: 24in Height: 96in Depth: 0.5in
RP90,24,90,0.5,REFRIGERATOR,GHI,Width: 24in Height: 90in Depth: 0.5in
RP84,24,84,0.5,REFRIGERATOR,GHI,Width: 24in Height: 84in Depth: 0.5in
G3X4PAN,36,48,0.25,PANEL,GHI,Width: 36in Height: 48in Depth: 0.25in
WEP12X42,12,42,0.1875,MOLDING,GHI,Width: 12in Height: 42in Depth: 0.1875in
EP24X35,24,35,0.1875,END_PANEL,GHI,Width: 24in Height: 35in Depth: 0.1875in
BEP3L,24,34.5,0.5,BASE_END,GHI,Width: 24in Height: 34.5in Depth: 0.5in Cover Depth: 3.1875in
BF3,3,34.5,,BASE,GHI,Width: 3in Height: 34.5in
F642,6,42,0.75,WALL,GHI,Width: 6in Height: 42in Depth: 0.75in
F396,3,,0.75,WALL,GHI,Width: 3in Length: 96in Depth: 0.75in
F342,3,42,0.75,MOLDING,GHI,Width: 3in Height: 42in Depth: 0.75in
F330,3,30,0.75,MOLDING,GHI,Width: 3in Height: 30in Depth: 0.75in
VAR48,48,6,,,GHI,Width: 48in Height: 6in
SCM7,0.25,0.75,,MOLDING,GHI,Width: 0.25in Height: 0.75in Length: 84in
OSC7,0.75,0.75,,CORNER,GHI,Width: 0.75in Height: 0.75in Length: 84in
FBM8,0.5,3.5,,BASE,GHI,Width: 0.5in Height: 3.5in Length: 96in
