canonical_sku,w,h,d,keyword,source,raw_desc
U309624,30,96,24,PANTRY,LOVE_MILESTONE,"Shaker Espresso - Utility Pantry - 30""W X 24""D X 96""H. Two Adjustable Top Shelves, Three Bottom Shelves. Note: Roll Out Shelf Kits Available."
U189624,18,96,24,PANTRY,LOVE_MILESTONE,"Shaker Espresso - Utility Pantry - 18""W X 24""D X 96""H. Two Adjustable Top Shelves, Three Bottom Shelves. Note: Roll Out Shelf Kits Available."
U248424,24,84,24,PANTRY,LOVE_MILESTONE,"Shaker Espresso - Utility Pantry - 24""W X 24""D X 84""H. Two Adjustable Top Shelves, Three Bottom Shelves. Note: Roll Out Shelf Kits Available."
U249024,24,90,24,PANTRY,LOVE_MILESTONE,"Shaker Espresso - Utility Pantry - 24""W X 24""D X 90""H. Two Adjustable Top Shelves, Three Bottom Shelves. Note: Roll Out Shelf Kits Available."
U249624,24,96,24,PANTRY,LOVE_MILESTONE,"Shaker Espresso - Utility Pantry - 24""W X 24""D X 96""H. Two Adjustable Top Shelves, Three Bottom Shelves. Note: Roll Out Shelf Kits Available."
O308424,30,84,24,PANTRY,LOVE_MILESTONE,"Shaker Espresso - Oven Pantry - 30""W X 84""H X 24""D - Opening 24""W X 24-3/8""H. Two Door, One Large Open Shelf, Three Bottom Drawers. Note: Drawers May Be Removed To Accommodate Double Ovens."
O309024,30,90,24,PANTRY,LOVE_MILESTONE,"Shaker Espresso - Oven Pantry - 30""W X 90""H X 24""D - Opening 24""W X 24-3/8""H. Two Door, One Large Open Shelf, Three Bottom Drawers. Note: Drawers May Be Removed To Accommodate Double Ovens."
RS18,17,3.25,21,,LOVE_MILESTONE,"RS18 - Rollout Tray - 17""W X 21""D X 3-1/4""H"
O309624,30,96,24,PANTRY,LOVE_MILESTONE,"Shaker Espresso - Oven Pantry - 30""W X 96""H X 24""D - Opening 24""W X 24-3/8""H. Two Door, One Large Open Shelf, Three Bottom Drawers. Note: Drawers May Be Removed To Accommodate Double Ovens."
RS21,20,3.25,21,,LOVE_MILESTONE,"RS21 - Rollout Tray - 20""W X 21""D X 3-1/4""H"
O338424,33,84,24,PANTRY,LOVE_MILESTONE,"Shaker Espresso - Oven Pantry - 33""W X 84""H X 24""D - Opening 24""W X 24-3/8""H. Two Door, One Large Open Shelf, Three Bottom Drawers. Note: Drawers May Be Removed To Accommodate Double Ovens."
RS24,23,3.25,21,,LOVE_MILESTONE,"RS24 - Rollout Tray - 23""W X 21""D X 3-1/4""H"
RS27,26,3.25,21,,LOVE_MILESTONE,"RS27 - Rollout Tray - 26""W X 21""D X 3-1/4""H"
RS30,29,3.25,21,,LOVE_MILESTONE,"RS30 - Rollout Tray - 29""W X 21""D X 3-1/4""H"
RS33,32,3.25,21,,LOVE_MILESTONE,"RS33 - Rollout Tray - 32""W X 21""D X 3-1/4""H"
FF396,3,96,,FILLER,LOVE_MILESTONE,"Shaker Espresso - Fluted Tall Filler - 3""W X 96""H"
RS36,35,3.25,21,,LOVE_MILESTONE,"RS36 - Rollout Tray - 35""W X 21""D X 3-1/4""H"
O339024,33,90,24,PANTRY,LOVE_MILESTONE,"Shaker Espresso - Oven Pantry - 33""W X 90""H X 24""D - Opening 24""W X 24-3/8""H. Two Door, One Large Open Shelf, Three Bottom Drawers. Note: Drawers May Be Removed To Accommodate Double Ovens."
Wood Tray,,,,LAZY_SUSAN,LOVE_MILESTONE,Wood Tray. Add To ERB For Lazy Susan
O339624,33,96,24,PANTRY,LOVE_MILESTONE,"Shaker Espresso - Oven Pantry - 33""W X 96""H X 24""D - Opening 24""W X 24-3/8""H. Two Door, One Large Open Shelf, Three Bottom Drawers. Note: Drawers May Be Removed To Accommodate Double Ovens."
Chrome Tray 33,,,,LAZY_SUSAN,LOVE_MILESTONE,Chrome Tray 33. Add To ERB For Lazy Susan
F342,3,42,,WALL,LOVE_MILESTONE,"Shaker Espresso - Wall Filler - 3""W X 42""H"
Chrome Tray 36,,,,LAZY_SUSAN,LOVE_MILESTONE,Chrome Tray 36. Add To ERB For Lazy Susan
